user_id,1-01d,1-02d,1-03d,1-04d,1-05d,1-06d,1-07d,1-08d,1-09d,1-10d,1-11d,1-12d,1-13d,1-14d,1-15d,1-16d,1-17d,1-18d,1-19d,1-20d,1-21d,1-22d,1-23d,1-24d,1-25d,1-26d,1-27d,1-28d,1-29d,1-30d,2-01d,2-02d,2-03d,2-04d,2-05d,2-06d,2-07d,2-08d,2-09d,2-10d,2-11d,2-12d,2-13d,2-14d,2-15d,2-16d,2-17d,2-18d,2-19d,2-20d,2-21d,2-22d,2-23d,2-24d,2-25d,2-26d,2-27d,2-28d,2-29d,2-30d,3-01d,3-02d,3-03d,3-04d,3-05d,3-06d,3-07d,3-08d,3-09d,3-10d,3-11d,3-12d,3-13d,3-14d,3-15d,3-16d,3-17d,3-18d,3-19d,3-20d,3-21d,3-22d,3-23d,3-24d,3-25d,3-26d,3-27d,3-28d,3-29d,3-30d,4-01d,4-02d,4-03d,4-04d,4-05d,4-06d,4-07d,4-08d,4-09d,4-10d,4-11d,4-12d,4-13d,4-14d,4-15d,4-16d,4-17d,4-18d,4-19d,4-20d,4-21d,4-22d,4-23d,4-24d,4-25d,4-26d,4-27d,4-28d,4-29d,4-30d,5-01d,5-02d,5-03d,5-04d,5-05d,5-06d,5-07d,5-08d,5-09d,5-10d,5-11d,5-12d,5-13d,5-14d,5-15d,5-16d,5-17d,5-18d,5-19d,5-20d,5-21d,5-22d,5-23d,5-24d,5-25d,5-26d,5-27d,5-28d,5-29d,5-30d
1,0.0,1880.0,2300.0,940.0,0.0,0.0,0.0,0.0,840.0,11510.0,13200.0,820.0,960.0,2030.0,1150.0,790.0,2250.0,7100.0,320.0,1090.0,0.0,3000.0,1840.0,3340.0,0.0,3880.0,1170.0,2050.0,750.0,1870.0,0.0,1080.0,0.0,0.0,2090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1560.0,0.0,0.0,0.0,2360.0,0.0,15970.0,0.0,5560.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10800.0,0.0,16290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9800.0,0.0,0.0,0.0,0.0,9150.0,1490.0,0.0,17840.0,0.0,0.0,51110.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1400.0,84500.0,1520.0,3590.0,0.0,16360.0,7960.0,0.0,4040.0,1370.0,0.0,540.0,0.0,990.0,1410.0,4410.0,0.0,0.0,0.0,0.0,30280.0,1330.0,79610.0,4480.0,0.0,0.0,44520.0,1390.0,0.0
2,0.0,480.0,0.0,3730.0,590.0,7950.0,870.0,0.0,1340.0,710.0,4960.0,4620.0,1100.0,1730.0,8290.0,260.0,0.0,1030.0,2870.0,2760.0,0.0,0.0,2460.0,0.0,0.0,0.0,780.0,1880.0,3780.0,1480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,870.0,0.0,1040.0,4160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1490.0,11780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7380.0,0.0,18600.0,24810.0,0.0,0.0,6070.0,0.0,0.0,21290.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2440.0,0.0,0.0,12260.0,13940.0,0.0,0.0,11480.0,236670.0,0.0,14160.0,0.0,0.0,104810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1410.0,3600.0,0.0,0.0,36820.0,0.0
3,1710.0,0.0,890.0,980.0,950.0,4410.0,480.0,0.0,1520.0,570.0,0.0,1650.0,1530.0,1760.0,0.0,0.0,1880.0,970.0,1580.0,1050.0,6940.0,520.0,0.0,1670.0,2410.0,5790.0,620.0,2730.0,620.0,1070.0,0.0,0.0,13020.0,0.0,0.0,9650.0,0.0,0.0,4110.0,9300.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14310.0,0.0,0.0,14090.0,0.0,4880.0,0.0,0.0,76870.0,0.0,0.0,0.0,0.0,22600.0,0.0,0.0,0.0,4340.0,16850.0,20730.0,0.0,0.0,0.0,9610.0,26710.0,0.0,0.0,0.0,0.0,42780.0,0.0,15590.0,0.0,0.0,0.0,0.0,14760.0,0.0,0.0,22150.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72280.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1660.0,0.0,7810.0,141880.0,0.0,84660.0,1110.0,1380.0,0.0,42740.0,0.0,1700.0,0.0,1700.0,23830.0,179210.0,580.0,0.0,3430.0,0.0,0.0,210.0,1190.0,52660.0,1090.0,5660.0,0.0,49810.0,43640.0,3250.0
4,0.0,990.0,11940.0,1530.0,0.0,0.0,2440.0,0.0,3660.0,0.0,3710.0,0.0,23280.0,0.0,5740.0,5600.0,0.0,0.0,2310.0,3420.0,0.0,0.0,2130.0,3620.0,1530.0,3760.0,1760.0,610.0,0.0,3540.0,0.0,0.0,0.0,12320.0,9560.0,0.0,0.0,0.0,0.0,0.0,0.0,16110.0,0.0,0.0,0.0,0.0,0.0,11840.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2580.0,0.0,0.0,0.0,2900.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35080.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15210.0,0.0,24450.0,3940.0,0.0,0.0,0.0,0.0,0.0,0.0,2090.0,6340.0,930.0,66120.0,0.0,0.0,0.0,0.0,0.0,22980.0,185320.0,0.0,9270.0,41280.0,39670.0,0.0,0.0,303660.0,0.0,0.0
5,0.0,950.0,0.0,880.0,3170.0,0.0,1060.0,0.0,0.0,4670.0,2040.0,3810.0,800.0,360.0,500.0,0.0,390.0,2830.0,1940.0,0.0,0.0,0.0,7190.0,12380.0,10270.0,2650.0,4320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13400.0,1080.0,0.0,0.0,0.0,0.0,0.0,3000.0,0.0,4640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,75580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8870.0,0.0,0.0,0.0,0.0,1390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9090.0,17570.0,84860.0,0.0,0.0,47760.0,27040.0,0.0,0.0,1660.0,1820.0,0.0,0.0,0.0,0.0,0.0,0.0,1930.0,0.0,0.0,0.0,28860.0
6,0.0,2490.0,1200.0,14860.0,2860.0,3000.0,2190.0,48600.0,570.0,26700.0,880.0,3170.0,1370.0,0.0,4290.0,0.0,20870.0,2220.0,6410.0,0.0,5120.0,5990.0,390.0,660.0,1550.0,1840.0,27200.0,29190.0,4350.0,0.0,106090.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19290.0,0.0,71740.0,820.0,0.0,0.0,0.0,0.0,9130.0,12770.0,0.0,0.0,17610.0,0.0,0.0,0.0,0.0,0.0,57310.0,0.0,19340.0,16570.0,0.0,0.0,0.0,19070.0,0.0,8240.0,0.0,0.0,0.0,0.0,0.0,61950.0,0.0,0.0,58370.0,0.0,0.0,0.0,0.0,21350.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35240.0,30370.0,2140.0,8750.0,0.0,0.0,9860.0,23830.0,29950.0,42160.0,0.0,2740.0,0.0,47930.0,377100.0,4370.0,11120.0,19080.0,3360.0,4970.0,0.0,0.0,0.0,62550.0,640.0,21860.0,102240.0,0.0,12360.0
7,0.0,0.0,2210.0,0.0,920.0,9920.0,2270.0,0.0,1200.0,5910.0,1790.0,0.0,540.0,0.0,2370.0,29350.0,0.0,1170.0,0.0,0.0,0.0,0.0,1380.0,3800.0,0.0,0.0,0.0,9060.0,3900.0,940.0,0.0,0.0,0.0,19800.0,0.0,0.0,0.0,0.0,0.0,19620.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3060.0,0.0,0.0,0.0,56560.0,0.0,83790.0,0.0,0.0,0.0,0.0,0.0,0.0,21170.0,0.0,0.0,0.0,19990.0,0.0,0.0,0.0,0.0,12780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2640.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35480.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56780.0,0.0,0.0,1680.0,0.0,9680.0,900.0,0.0,0.0,0.0,21810.0,0.0,3860.0,2080.0,0.0,0.0,2250.0,290.0,30620.0,4480.0,2750.0,0.0,3990.0,870.0,0.0,2120.0,0.0,0.0,0.0
8,0.0,0.0,3090.0,0.0,950.0,6320.0,3490.0,0.0,3680.0,1940.0,1250.0,49510.0,0.0,2120.0,0.0,0.0,420.0,0.0,10840.0,1670.0,0.0,0.0,0.0,1200.0,0.0,2390.0,2730.0,13300.0,0.0,650.0,0.0,1180.0,0.0,0.0,0.0,4320.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12350.0,1430.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7220.0,0.0,0.0,0.0,0.0,10060.0,0.0,24370.0,0.0,0.0,0.0,20540.0,0.0,0.0,0.0,0.0,0.0,23740.0,0.0,6290.0,0.0,42590.0,0.0,0.0,0.0,0.0,27970.0,25650.0,0.0,0.0,0.0,0.0,0.0,0.0,28370.0,0.0,3780.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1760.0,53080.0,11020.0,0.0,970.0,0.0,1340.0,0.0,32900.0,0.0,18570.0,0.0,1240.0,0.0,1030.0,0.0,0.0,51380.0,0.0,710.0,610.0,1650.0,0.0,0.0,53410.0,0.0,0.0,17130.0,0.0,0.0
9,0.0,15860.0,7860.0,0.0,3360.0,8450.0,6720.0,2820.0,4750.0,0.0,3030.0,14200.0,4010.0,710.0,8620.0,107190.0,0.0,4050.0,16110.0,0.0,0.0,12680.0,5890.0,3970.0,0.0,1670.0,940.0,4270.0,0.0,4950.0,0.0,0.0,0.0,0.0,24500.0,17370.0,0.0,0.0,0.0,0.0,5920.0,0.0,4120.0,0.0,0.0,13710.0,0.0,0.0,0.0,12330.0,23180.0,0.0,6030.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,195330.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,95700.0,53670.0,0.0,0.0,18760.0,0.0,68550.0,34260.0,0.0,0.0,0.0,54160.0,12440.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9140.0,0.0,0.0,0.0,0.0,0.0,446910.0,100410.0,1460.0,0.0,0.0,190.0,245630.0,25570.0,312220.0,0.0,228830.0,4080.0,96190.0,2780.0,422560.0,14080.0,0.0,0.0,41650.0,0.0,0.0,197750.0,0.0,313630.0,4490.0,2180.0,25990.0,0.0,50850.0,0.0
10,5030.0,0.0,1260.0,0.0,13560.0,0.0,0.0,1970.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7440.0,880.0,2520.0,740.0,0.0,0.0,0.0,0.0,6220.0,530.0,1910.0,0.0,0.0,990.0,0.0,0.0,0.0,8640.0,0.0,0.0,0.0,5340.0,0.0,0.0,0.0,0.0,1400.0,1120.0,15100.0,0.0,0.0,0.0,0.0,0.0,1810.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33770.0,0.0,0.0,13530.0,0.0,17590.0,0.0,0.0,15470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19020.0,0.0,0.0,0.0,0.0,11790.0,8890.0,0.0,18930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48450.0,0.0,0.0,0.0,0.0,0.0,0.0,1050.0,3380.0,34470.0,800.0,1200.0,0.0,0.0,0.0,1590.0,8320.0,32510.0,0.0,0.0,0.0,10570.0,0.0,0.0,1910.0,1060.0,0.0,0.0,10670.0,12230.0,24630.0,0.0,0.0,0.0,0.0,0.0,0.0
11,840.0,0.0,0.0,1560.0,0.0,0.0,0.0,1040.0,4050.0,210.0,0.0,12570.0,930.0,4610.0,0.0,1620.0,0.0,0.0,1260.0,1200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4090.0,0.0,70770.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7270.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3190.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12800.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18790.0,0.0,0.0,0.0,19650.0,0.0,0.0,23200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5680.0,29600.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4380.0,0.0,0.0,90520.0,26560.0,350.0,0.0,1010.0,3070.0,0.0,0.0,0.0,100670.0,74190.0,21670.0,1230.0,0.0,28790.0,0.0,1050.0,19630.0,0.0,0.0,48810.0,0.0,0.0,0.0
12,7660.0,740.0,0.0,8100.0,5500.0,1660.0,2330.0,3800.0,5470.0,3720.0,1550.0,1840.0,8390.0,0.0,0.0,11800.0,9060.0,0.0,0.0,5700.0,3510.0,0.0,0.0,340.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15000.0,0.0,0.0,0.0,2970.0,4860.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9980.0,0.0,0.0,42820.0,0.0,0.0,82490.0,0.0,14790.0,0.0,0.0,46750.0,0.0,0.0,21830.0,0.0,0.0,0.0,0.0,0.0,0.0,50420.0,0.0,21570.0,0.0,0.0,0.0,0.0,0.0,29610.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79070.0,0.0,25460.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,133880.0,0.0,0.0,0.0,0.0,0.0,3570.0,0.0,53080.0,16430.0,280.0,0.0,0.0,0.0,268540.0,0.0,0.0,3140.0,292180.0,0.0,19570.0,15660.0,235510.0,240.0,0.0,0.0,10270.0
13,0.0,0.0,23630.0,0.0,3830.0,17790.0,1960.0,730.0,780.0,8910.0,0.0,19640.0,0.0,1760.0,2680.0,0.0,2790.0,2630.0,23200.0,0.0,7330.0,0.0,8970.0,14210.0,810.0,3660.0,7020.0,2590.0,6550.0,520.0,19160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,34140.0,1790.0,0.0,0.0,990.0,0.0,0.0,920.0,0.0,21940.0,0.0,0.0,0.0,303030.0,0.0,40710.0,1870.0,23680.0,0.0,0.0,0.0,0.0,0.0,0.0,27020.0,27200.0,0.0,0.0,0.0,27140.0,0.0,0.0,16640.0,13680.0,0.0,0.0,0.0,159760.0,0.0,18660.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42320.0,0.0,0.0,0.0,61230.0,0.0,0.0,0.0,0.0,75790.0,3220.0,1330.0,19570.0,110590.0,0.0,0.0,1550.0,0.0,0.0,3070.0,0.0,137000.0,19820.0,421190.0,0.0,780.0,162560.0,36060.0,0.0
14,0.0,6090.0,0.0,8140.0,460.0,4400.0,2010.0,3820.0,2220.0,5120.0,0.0,800.0,660.0,1520.0,2900.0,640.0,860.0,18900.0,0.0,0.0,640.0,4900.0,680.0,0.0,0.0,1150.0,650.0,8100.0,0.0,1830.0,0.0,0.0,0.0,0.0,1950.0,0.0,880.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8240.0,0.0,2590.0,0.0,8860.0,0.0,0.0,500.0,0.0,0.0,0.0,5840.0,28780.0,16680.0,0.0,29280.0,0.0,0.0,0.0,0.0,2030.0,0.0,0.0,8370.0,0.0,0.0,0.0,18720.0,0.0,0.0,13850.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1390.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5810.0,0.0,32310.0,5620.0,0.0,1970.0,34220.0,271690.0,0.0,14290.0,0.0,1260.0,550.0,11730.0,0.0,0.0,0.0,0.0,370.0,0.0,2630.0,0.0,0.0,0.0,3140.0,79110.0,1470.0,0.0,1280.0,0.0
15,0.0,0.0,740.0,490.0,0.0,0.0,3290.0,0.0,1430.0,510.0,2460.0,350.0,0.0,1260.0,0.0,0.0,1030.0,2620.0,0.0,1210.0,0.0,2040.0,440.0,0.0,0.0,780.0,330.0,0.0,2100.0,4190.0,0.0,0.0,0.0,3970.0,9330.0,2930.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1600.0,0.0,0.0,6820.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81500.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1360.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19550.0,0.0,0.0,0.0,0.0,0.0,20030.0,3830.0,1240.0,0.0,0.0,0.0,0.0,0.0,16970.0,0.0,0.0,0.0,13010.0,0.0,101190.0,660.0,0.0,1660.0,0.0,0.0,0.0,1760.0,0.0,0.0
16,0.0,550.0,0.0,0.0,340.0,0.0,870.0,0.0,5150.0,0.0,3980.0,3450.0,2750.0,0.0,880.0,0.0,5680.0,2550.0,1260.0,1610.0,0.0,0.0,1890.0,13950.0,16930.0,1180.0,1260.0,0.0,0.0,640.0,0.0,0.0,0.0,0.0,0.0,0.0,7740.0,0.0,0.0,27230.0,0.0,0.0,0.0,0.0,0.0,0.0,8170.0,0.0,1370.0,1920.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,140060.0,0.0,0.0,0.0,11200.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27260.0,0.0,13680.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32060.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14180.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33550.0,0.0,93670.0,14720.0,19590.0,0.0,64350.0,10560.0,0.0,0.0,0.0,550.0,0.0,2970.0,0.0,9370.0,0.0,0.0,36700.0,0.0
17,2910.0,2740.0,480.0,3010.0,0.0,3410.0,850.0,1650.0,0.0,0.0,8750.0,0.0,12510.0,5420.0,1120.0,6610.0,740.0,990.0,4930.0,2050.0,1710.0,1520.0,3070.0,930.0,15920.0,3940.0,2060.0,2010.0,700.0,0.0,0.0,0.0,0.0,45770.0,0.0,0.0,3310.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6980.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1570.0,19400.0,14550.0,0.0,0.0,0.0,0.0,34270.0,0.0,0.0,0.0,0.0,0.0,0.0,2250.0,0.0,12100.0,0.0,0.0,0.0,0.0,3770.0,29380.0,18550.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2740.0,0.0,0.0,0.0,0.0,0.0,0.0,1220.0,47050.0,70570.0,0.0,0.0,1140.0,0.0,1680.0,12060.0,146680.0,1750.0,0.0,0.0,55850.0,0.0,0.0,19400.0,0.0,0.0,13860.0,0.0,1560.0,1540.0,67190.0,0.0,231930.0,47510.0,44220.0,0.0,0.0
18,2450.0,1030.0,0.0,6950.0,1950.0,2110.0,4060.0,17130.0,1480.0,1000.0,6820.0,220.0,0.0,0.0,3970.0,7700.0,830.0,5270.0,0.0,0.0,0.0,700.0,3380.0,14350.0,2120.0,1860.0,8910.0,0.0,640.0,12480.0,0.0,0.0,8410.0,0.0,4390.0,0.0,0.0,1050.0,10290.0,0.0,0.0,0.0,5160.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15120.0,1580.0,0.0,0.0,0.0,0.0,0.0,0.0,16590.0,11030.0,11660.0,0.0,0.0,0.0,0.0,59830.0,0.0,56370.0,0.0,15240.0,0.0,0.0,0.0,25970.0,0.0,0.0,17380.0,0.0,0.0,17960.0,61470.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2160.0,0.0,1470.0,0.0,0.0,16230.0,0.0,1470.0,0.0,0.0,0.0,0.0,0.0,2200.0,1190.0,24620.0,620.0,0.0,1520.0,1770.0,1240.0,0.0,48600.0,108650.0,1070.0,0.0,0.0,2070.0,0.0,5730.0
19,0.0,1070.0,4680.0,1000.0,0.0,740.0,1100.0,0.0,1860.0,4180.0,13940.0,1710.0,4710.0,0.0,1440.0,0.0,1870.0,0.0,1430.0,2740.0,0.0,190.0,11240.0,5280.0,670.0,4950.0,0.0,1520.0,4930.0,1040.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12740.0,0.0,0.0,4350.0,0.0,0.0,0.0,0.0,0.0,740.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79650.0,0.0,0.0,1170.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23950.0,0.0,0.0,3460.0,13430.0,4280.0,0.0,0.0,20550.0,0.0,0.0,0.0,20670.0,0.0,0.0,11910.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,56850.0,0.0,68430.0,940.0,97630.0,0.0,67020.0,0.0,46820.0,59420.0,0.0,410.0,0.0,72270.0,32500.0,0.0,17160.0,5740.0,0.0,1290.0,0.0,0.0,0.0,0.0,244520.0,0.0,0.0,0.0,0.0,0.0
20,0.0,0.0,1350.0,0.0,0.0,470.0,3330.0,510.0,0.0,5810.0,4590.0,2440.0,1290.0,2890.0,0.0,1080.0,14800.0,0.0,0.0,1710.0,65850.0,1190.0,0.0,0.0,3200.0,930.0,0.0,0.0,4350.0,1670.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14900.0,0.0,0.0,0.0,0.0,7870.0,0.0,950.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,930.0,0.0,0.0,0.0,11580.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10820.0,0.0,0.0,48650.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3050.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1440.0,2820.0,0.0,2550.0,103820.0,1130.0,0.0,0.0,0.0,0.0,0.0,0.0,840.0,1310.0,0.0,0.0,0.0,0.0,12540.0,1410.0,62070.0,0.0,11240.0,6340.0,0.0,0.0,0.0,0.0,370.0,0.0
